Level,Design,View,Handover,NFA,project,Price in USD
5,1,2,1,76.4,cruz,121460.3
6,1,2,1,76.4,cruz,121777.28
7,1,2,1,76.4,cruz,122094.27
8,1,2,2,76.4,cruz,141684.23
9,1,2,2,76.4,cruz,138859.12
10,1,2,2,76.4,cruz,140337.05
11,1,2,1,76.4,cruz,121539.53
12,1,2,1,76.4,cruz,123996.16
12,1,2,1,76.4,cruz,120033.88
12,1,2,1,76.4,cruz,120033.88
15,1,2,2,76.4,cruz,139782.33
16,1,2,2,76.4,cruz,139096.86
17,1,2,2,76.4,cruz,139572.33
18,1,2,2,76.4,cruz,141208.76
19,1,2,2,76.4,cruz,140523.28
20,1,2,2,76.4,cruz,142159.71
21,1,2,2,76.4,cruz,139334.59
22,1,2,2,76.4,cruz,139651.58
23,1,2,1,76.4,cruz,121856.51
24,1,2,1,76.4,cruz,122173.49
25,1,2,1,76.4,cruz,123651.42
26,1,2,1,76.4,cruz,123968.41
27,1,2,1,76.4,cruz,125105.6
28,1,2,1,76.4,cruz,123282.93
29,1,2,2,76.4,cruz,140733.28
30,1,2,2,76.4,cruz,140891.77
31,1,2,2,76.4,cruz,141050.27
32,1,2,2,76.4,cruz,141208.76
3A,1,2,2,113.21,cruz,211847.42
5,2,2,1,76.4,cruz,123837.67
6,2,2,1,76.4,cruz,124154.66
7,2,2,1,76.4,cruz,124471.64
8,2,2,2,76.4,cruz,144061.61
9,2,2,2,76.4,cruz,141236.49
10,2,2,2,76.4,cruz,142714.43
11,2,2,1,76.4,cruz,123916.9
12,2,2,1,76.4,cruz,126373.53
12,2,2,1,76.4,cruz,122411.25
12,2,2,1,76.4,cruz,122411.25
15,2,2,2,76.4,cruz,142159.71
16,2,2,2,76.4,cruz,141474.23
17,2,2,2,76.4,cruz,141949.7
18,2,2,2,76.4,cruz,143586.13
19,2,2,2,76.4,cruz,142900.65
20,2,2,2,76.4,cruz,144537.08
21,2,2,2,76.4,cruz,141711.97
22,2,2,2,76.4,cruz,142028.95
23,2,2,1,76.4,cruz,124233.88
24,2,2,1,76.4,cruz,124550.86
25,2,2,1,76.4,cruz,126028.79
26,2,2,1,76.4,cruz,126345.78
27,2,2,1,76.4,cruz,127482.97
28,2,2,1,76.4,cruz,125660.3
29,2,2,2,76.4,cruz,143110.66
30,2,2,2,76.4,cruz,143269.15
31,2,2,2,76.4,cruz,143427.64
32,2,2,2,76.4,cruz,143586.13
33,2,2,2,76.4,cruz,143744.62
34,2,2,2,76.4,cruz,143903.11
3A,2,2,2,109.81,cruz,208922.79
5,3,1,1,76.4,cruz,119875.39
6,3,1,1,76.4,cruz,120192.37
7,3,1,1,76.4,cruz,120509.35
8,3,1,2,76.4,cruz,140099.32
9,3,1,2,76.4,cruz,139255.35
10,3,1,2,76.4,cruz,140733.28
11,3,1,1,76.4,cruz,121935.78
12,3,1,1,76.4,cruz,124392.37
12,3,1,1,76.4,cruz,122411.25
12,3,1,1,76.4,cruz,122411.25
15,3,1,2,76.4,cruz,142159.71
16,3,1,2,76.4,cruz,141474.23
17,3,1,2,76.4,cruz,141949.7
18,3,1,2,76.4,cruz,143586.13
19,3,1,2,76.4,cruz,142900.65
20,3,1,2,76.4,cruz,144537.08
21,3,1,2,76.4,cruz,143693.11
22,3,1,2,76.4,cruz,144010.1
23,3,1,1,76.4,cruz,126215.04
24,3,1,1,76.4,cruz,126532.03
25,3,1,1,76.4,cruz,128009.96
26,3,1,1,76.4,cruz,128326.94
27,3,1,1,76.4,cruz,129464.09
28,3,1,1,76.4,cruz,127641.47
29,3,1,2,76.4,cruz,147072.95
30,3,1,2,76.4,cruz,147231.44
31,3,1,2,76.4,cruz,147389.93
32,3,1,2,76.4,cruz,147548.42
33,3,1,2,76.4,cruz,147706.91
34,3,1,2,76.4,cruz,147865.4
3A,3,1,2,113.58,cruz,210181.32
5,4,1,1,76.4,cruz,117497.97
6,4,1,1,76.4,cruz,117814.96
7,4,1,1,76.4,cruz,118131.94
8,4,1,2,76.4,cruz,137721.94
9,4,1,2,76.4,cruz,136877.97
10,4,1,2,76.4,cruz,138355.91
11,4,1,1,76.4,cruz,119558.41
12,4,1,1,76.4,cruz,122015
12,4,1,1,76.4,cruz,120033.88
12,4,1,1,76.4,cruz,120033.88
15,4,1,2,76.4,cruz,139782.33
16,4,1,2,76.4,cruz,139096.86
17,4,1,2,76.4,cruz,139572.33
18,4,1,2,76.4,cruz,141208.76
19,4,1,2,76.4,cruz,140523.28
20,4,1,2,76.4,cruz,142159.71
21,4,1,2,76.4,cruz,141315.74
22,4,1,2,76.4,cruz,141632.72
23,4,1,1,76.4,cruz,123837.67
24,4,1,1,76.4,cruz,124154.66
25,4,1,1,76.4,cruz,125632.59
26,4,1,1,76.4,cruz,125949.57
27,4,1,1,76.4,cruz,127086.72
28,4,1,1,76.4,cruz,125264.09
29,4,1,2,76.4,cruz,144695.57
30,4,1,2,76.4,cruz,144854.06
31,4,1,2,76.4,cruz,145012.56
32,4,1,2,76.4,cruz,145171.05
33,4,1,2,76.4,cruz,145329.54
34,4,1,2,76.4,cruz,145488.03
3A,4,1,2,100.91,cruz,183672.18
5,5,1,1,74.54,cruz,113107.89
6,5,1,1,74.54,cruz,113417.16
7,5,1,1,74.54,cruz,113726.42
8,5,1,2,74.54,cruz,132839.48
9,5,1,2,74.54,cruz,132016.06
10,5,1,2,74.54,cruz,133458.02
11,5,1,1,74.54,cruz,115118.15
12,5,1,1,74.54,cruz,117514.96
12,5,1,1,74.54,cruz,115582.03
12,5,1,1,74.54,cruz,115582.03
15,5,1,2,74.54,cruz,134849.71
16,5,1,2,74.54,cruz,134180.93
17,5,1,2,74.54,cruz,134644.83
18,5,1,2,74.54,cruz,136241.41
19,5,1,2,74.54,cruz,135572.62
20,5,1,2,74.54,cruz,137169.21
21,5,1,2,74.54,cruz,136345.79
22,5,1,2,74.54,cruz,136655.05
23,5,1,1,74.54,cruz,119293.23
24,5,1,1,74.54,cruz,119602.5
25,5,1,1,74.54,cruz,121044.44
26,5,1,1,74.54,cruz,121353.71
27,5,1,1,74.54,cruz,122463.19
28,5,1,1,74.54,cruz,120684.91
29,5,1,2,74.54,cruz,139643.34
30,5,1,2,74.54,cruz,139797.97
31,5,1,2,74.54,cruz,139952.6
32,5,1,2,74.54,cruz,140107.24
33,5,1,2,74.54,cruz,140261.87
3A,5,1,2,112.52,cruz,204141.32
5,6,1,1,96.12,cruz,149641.98
6,6,1,1,96.12,cruz,150040.82
7,6,1,1,96.12,cruz,150439.61
8,6,1,2,96.12,cruz,175086.06
9,6,1,2,96.12,cruz,174024.25
10,6,1,2,96.12,cruz,175883.66
11,6,1,1,96.12,cruz,152234.22
12,6,1,1,96.12,cruz,155324.91
12,6,1,1,96.12,cruz,152832.41
12,6,1,1,96.12,cruz,152832.41
15,6,1,2,96.12,cruz,177678.27
16,6,1,2,96.12,cruz,176815.86
17,6,1,2,96.12,cruz,177414.07
18,6,1,2,96.12,cruz,179472.88
19,6,1,2,96.12,cruz,178610.47
20,6,1,2,96.12,cruz,180669.28
