Level,Type_of_BR,Type_of_design,Unit_No,Unit_Code,Balcony_orientation,View,GFA(m2),NSA(m2),Outdoor_area,Price_in_USD_(Excl.VAT),Price_in_USD_(Incl.VAT),Price_psm_excl.VAT),Price_psm_(incl.VAT),K
3,1BR,1A,1,CA-03.01,N,GOT river,47.57,43.61,,102971.00 ,113037.00 ,2361.00 ,2592.00 ,0.95
3A,1BR,1A,1,CA-3A.01,N,GOT river,47.57,43.61,,103224.00 ,113315.00 ,2367.00 ,2598.00 ,0.95
5,1BR,1A,1,CA-05.01,N,GOT river,47.57,43.61,,103730.00 ,113872.00 ,2379.00 ,2611.00 ,0.96
6,1BR,1A,1,CA-06.01,N,GOT river,47.57,43.61,,104742.00 ,114985.00 ,2402.00 ,2637.00 ,0.97
7,1BR,1A,1,CA-07.01,N,GOT river,47.57,43.61,,103730.00 ,113872.00 ,2379.00 ,2611.00 ,0.96
8,1BR,1A,1,CA-08.01,N,GOT river,47.57,43.61,,104742.00 ,114985.00 ,2402.00 ,2637.00 ,0.97
9,1BR,1A,1,CA-09.01,N,GOT river,47.57,43.61,,104742.00 ,114985.00 ,2402.00 ,2637.00 ,0.97
10,1BR,1A,1,CA-10.01,N,GOT river,47.57,43.61,,103477.00 ,113594.00 ,2373.00 ,2605.00 ,0.96
11,1BR,1A,1,CA-11.01,N,GOT river,47.57,43.61,,103224.00 ,113315.00 ,2367.00 ,2598.00 ,0.95
12,1BR,1A,1,CA-12.01,N,GOT river,47.57,43.61,,102971.00 ,113037.00 ,2361.00 ,2592.00 ,0.95
12A,1BR,1A,1,CA-12A.01,N,GOT river,47.57,43.61,,102971.00 ,113037.00 ,2361.00 ,2592.00 ,0.95
14,1BR,1A,1,CA-14.01 ,N,GOT river,47.57,43.61,,102718.00 ,112759.00 ,2355.00 ,2586.00 ,0.95
15,1BR,1A,1,CA-15.01 ,N,GOT river,47.57,43.61,,102718.00 ,112759.00 ,2355.00 ,2586.00 ,0.95
16,1BR,1A,1,CA-16.01,N,GOT river,47.57,43.61,,103477.00 ,113594.00 ,2373.00 ,2605.00 ,0.96
17,1BR,1A,1,CA-17.01,N,GOT river,47.57,43.61,,102465.00 ,112480.00 ,2350.00 ,2579.00 ,0.95
3,1BR,1B,3,CA-03.03,NE,GOT river,45.28,40.18,,98014.00 ,107595.00 ,2439.00 ,2678.00 ,0.98
3A,1BR,1B,3,CA-3A.03,NE,GOT river,45.28,40.18,,98255.00 ,107860.00 ,2445.00 ,2684.00 ,0.99
